artist,hotttnesss
Justin Bieber,0.998382
Kygo,0.965525
One Direction,0.955242
Lost Frequencies,0.953128
Calvin Harris,0.95238
Taylor Swift,0.949149
Ellie Goulding,0.940912
Robin Schulz,0.938659
Drake,0.9367
Meghan Trainor,0.935243
David Guetta,0.932902
Sam Smith,0.930108
Major Lazer,0.91936
Zara Larsson,0.918352
Avicii,0.914653
Ed Sheeran,0.91435
Omi,0.913789
The Weeknd,0.911668
Felix Jaehn,0.91069
Sia,0.909929
Shawn Mendes,0.909388
Hozier,0.909008
Pharrell Williams,0.908311
Maître Gims,0.906027
James Bay,0.901058
Madcon,0.900861
Jess Glynne,0.900815
Coldplay,0.900474
Maroon 5,0.900085
Rudimental,0.899354
5 Seconds Of Summer,0.897558
Jason Derülo,0.894877
Ariana Grande,0.891926
Disclosure,0.891358
Naughty Boy,0.883913
Tove Lo,0.883544
Diplo,0.883271
Selena Gomez,0.882608
Macklemore & Ryan Lewis,0.881959
Rihanna,0.878934
Imagine Dragons,0.878639
Nico & Vinz,0.878027
Rachel Platten,0.877201
The Avener,0.876817
Wiz Khalifa,0.876459
Flo Rida,0.875501
Sam Hunt,0.875481
John Legend,0.87536
Little Mix,0.874437
Zedd,0.873144
Magic!,0.872651
Hardwell,0.870161
Dimitri Vegas,0.868618
Nick Jonas,0.867743
Klingande,0.862184
Tiësto,0.859737
Skrillex,0.857773
Walk the Moon,0.856426
Florence + The Machine,0.8537
Demi Lovato,0.850842
Carly Rae Jepsen,0.850722
Fifth Harmony,0.850704
Pitbull,0.849828
Jessie J,0.848718
Eva Simons,0.847557
Chris Brown,0.84729
Bruno Mars,0.844049
Kendrick Lamar,0.842582
Beyoncé,0.839053
Dillon Francis,0.837245
Carrie Underwood,0.835385
Passenger,0.833901
Nelly,0.833779
John Newman,0.833119
George Ezra,0.832883
Oliver Heldens,0.831464
Of Monsters and Men,0.829004
Justin Timberlake,0.825758
Macklemore,0.824785
Lorde,0.820404
Birdy,0.818493
Labrinth,0.816971
Alesso,0.814081
Olly Murs,0.813399
Miriam Bryant,0.812911
Afrojack,0.812601
Vance Joy,0.812201
Gorgon City,0.80617
DJ Antoine,0.805884
Missy Elliott,0.804368
Gwen Stefani,0.800312
OneRepublic,0.799881
Big Sean,0.798024
Pia Mia,0.797054
Mike Posner,0.796411
J. Cole,0.792344
DJ Khaled,0.790728
Leona Lewis,0.790675
Christina Perri,0.789726
Rita Ora,0.789073
Ne-Yo,0.788871
Rixton,0.788416
The Vamps,0.786616
fun.,0.78646
Milky Chance,0.786138
Swedish House Mafia,0.785198
Selena Gomez & The Scene,0.784894
Austin Mahone,0.784716
Robin Thicke,0.784494
Florida Georgia Line,0.784042
MNEK,0.782973
Thomas Rhett,0.782874
Cole Swindell,0.782307
Jason Mraz,0.782184
Netsky,0.780464
Steve Angello,0.779534
Icona Pop,0.778855
JoJo,0.776296
Ciara,0.77509
James Blake,0.775061
Tori Kelly,0.773955
James Arthur,0.77368
Amy Winehouse,0.770847
Kanye West,0.770274
Miley Cyrus,0.769736
Thomas Jack,0.769232
Eric Prydz,0.768688
Lykke Li,0.768275
Parra for Cuva,0.766639
Stereophonics,0.765671
Chase Rice,0.765283
Gabrielle Aplin,0.761625
Cee Lo Green,0.758738
Childish Gambino,0.758043
Dan + Shay,0.757305
Damien Rice,0.756391
Kaskade,0.756358
Brandon Flowers,0.756295
Akon,0.755035
AWOLNATION,0.753977
Lady Antebellum,0.753001
Rick Ross,0.752808
Karpe Diem,0.75046
Jessie Ware,0.750327
The Script,0.749884
Klangkarussell,0.749794
Foster the People,0.749217
