artist,hotttnesss
Adele,0.927404
Coldplay,0.927214
Justin Bieber,0.907172
Calvin Harris,0.903837
Taylor Swift,0.902243
Ellie Goulding,0.901556
One Direction,0.901497
The Weeknd,0.897244
Drake,0.896627
Ed Sheeran,0.896003
Avicii,0.892039
David Guetta,0.888205
Sam Smith,0.884431
Ariana Grande,0.877967
Kygo,0.876745
Sia,0.872014
Major Lazer,0.87134
Robin Schulz,0.868185
Selena Gomez,0.860583
Wiz Khalifa,0.859228
Lost Frequencies,0.855936
Rudimental,0.855864
Meghan Trainor,0.854873
Nicky Jam,0.854663
Shawn Mendes,0.854445
Maroon 5,0.851254
Zara Larsson,0.847173
Jason Derülo,0.844684
Omi,0.843423
Skrillex,0.841883
Disclosure,0.84091
Diplo,0.840732
Naughty Boy,0.837807
Chris Brown,0.836632
Walk the Moon,0.835188
Pitbull,0.834689
Demi Lovato,0.83316
Rihanna,0.831511
Imagine Dragons,0.831368
Charlie Puth,0.829846
Jessie J,0.829391
Felix Jaehn,0.829172
Fifth Harmony,0.828771
Flo Rida,0.828616
Zedd,0.828181
John Legend,0.82807
DJ Snake,0.825205
Hozier,0.824324
J Balvin,0.823138
Lana Del Rey,0.823096
Galantis,0.822554
Pharrell Williams,0.822454
Macklemore & Ryan Lewis,0.821942
Tiësto,0.821893
Little Mix,0.821249
P!nk,0.821203
Sam Hunt,0.821168
James Bay,0.819808
Jess Glynne,0.819406
Eminem,0.816146
Adam Lambert,0.816103
BigBang,0.815521
Mark Ronson,0.814831
Katy Perry,0.813044
Lukas Graham,0.812253
X Ambassadors,0.812217
Martin Garrix,0.81213
Armin van Buuren,0.811776
Mariah Carey,0.810837
David Bowie,0.80933
Enrique Iglesias,0.808897
Duke Dumont,0.808162
Florence + The Machine,0.80707
Carly Rae Jepsen,0.803836
Rachel Platten,0.803789
Christine and the Queens,0.803538
Daddy Yankee,0.80343
Ricky Martin,0.803171
Kendrick Lamar,0.80308
Luke Bryan,0.803053
Martin Solveig,0.802337
Madcon,0.802275
5 Seconds Of Summer,0.801679
Dimitri Vegas,0.801506
Vance Joy,0.800425
Nick Jonas,0.800114
